Name,Cancellations Total,Cancellations US,Delays Total,Delays US,Page Key,Parse Status,Snapshot GMT,Source URL,Target Date ET
2026-04-01 today,630,125,17516,2653,today,success,2026年4月2日 03:30 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,140,29,1007,0,tomorrow,success,2026年4月2日 03:30 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,24,4,40,0,plus2days,success,2026年4月2日 03:30 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,1121,441,26260,5964,yesterday,success,2026年4月2日 03:45 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,634,128,17788,2756,today,success,2026年4月2日 03:45 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,141,30,1028,0,tomorrow,success,2026年4月2日 03:45 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,24,4,41,0,plus2days,success,2026年4月2日 03:45 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,,,,,yesterday,fetch_failed,2026年4月2日 04:00 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-03-31 yesterday,1121,441,26268,5969,yesterday,success,2026年4月2日 04:01 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,637,128,18084,2915,today,success,2026年4月2日 04:01 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,143,32,1035,0,tomorrow,success,2026年4月2日 04:01 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,24,4,42,0,plus2days,success,2026年4月2日 04:01 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,1121,441,26268,5969,yesterday,success,2026年4月2日 04:15 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,642,130,18084,2915,today,success,2026年4月2日 04:15 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,146,33,1035,0,tomorrow,success,2026年4月2日 04:15 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,24,4,42,0,plus2days,success,2026年4月2日 04:15 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,1121,441,26274,5976,yesterday,success,2026年4月2日 04:30 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,648,134,18437,3105,today,success,2026年4月2日 04:30 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,160,33,1065,0,tomorrow,success,2026年4月2日 04:30 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
